id,smiles,vendor,email,price
2ff98306ef846abf62e986c6,CS(=O)(=O)NCc1ccc(-c2ccc3ncnc(NC(=O)c4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)cc1,eMolecules,sales@emolecules.com,860
479c5b3ad7975815d79f2b55,CS(=O)(=O)Cc1ccc(-c2ccc3ncnc(NC(=O)c4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)c(F)c1,eMolecules,sales@emolecules.com,910
642baa6e0c091d54fb66a05d,CCCS(=O)(=O)NCc1ccc(-c2ccc3ncnc(NC(=O)c4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)cc1,eMolecules,sales@emolecules.com,1160
b195217b3356f7a71f168357,CS(=O)(=O)Cc1ccc(C(=O)Nc2ncnc3ccc(-c4ccc(OCc5cccc(Cl)c5)c(Cl)c4)cc23)o1,eMolecules,sales@emolecules.com,1010
c6008af9a82362f5ab4b8f9f,CS(=O)(=O)NCc1cccc(-c2ccc3ncnc(NC(=O)c4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)c1,eMolecules,sales@emolecules.com,860
3375eec7c54890aaf74c2c69,CS(=O)(=O)NCc1ccc(-c2ccc3c(NC(=O)c4ccc(OCc5cccc(F)c5)c(Cl)c4)ncnc3c2)cc1,eMolecules,sales@emolecules.com,840
d721bbaface5eecde6b98703,CS(=O)(=O)Cc1ccc(C(=O)Nc2ncnc3ccc(-c4ccc(OCc5ccc(F)cc5)c(Cl)c4)cc23)o1,eMolecules,sales@emolecules.com,1060
945d8366313710b241e6009f,CC(=O)c1cccc(Nc2ncnc3ccc(-c4ccc(OCc5ccccc5)c(F)c4)cc23)c1,Molecule.one,hello@molecule.one,
082df22e1215a3594733064c,CCCCS(=O)(=O)Nc1ccc(-c2ccc3ncnc(NC(=O)c4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)cc1,eMolecules,sales@emolecules.com,910
5aab8417d7784c8ce52381b2,CS(=O)(=O)Cc1cccc(-c2ccc3ncnc(NC(=O)c4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)c1,eMolecules,sales@emolecules.com,1060
d967c846cce871545f42e11e,CC(=O)c1cccc(Nc2ncnc3ccc(-c4ccc(OCc5ccccc5)c(C)c4)cc23)c1,Molecule.one,hello@molecule.one,
02a6be999896b8579a731168,CC(=O)c1cccc(Nc2ncnc3ccc(-c4ccc(OCc5cccc(F)c5)cc4)cc23)c1,Molecule.one,hello@molecule.one,
1c40a93ee330cdfe05c52c44,CC(=O)c1cccc(Nc2ncnc3ccc(-c4ccc(OCc5ccc(F)cc5)cc4)cc23)c1,Molecule.one,hello@molecule.one,
